"Company","Sector","Resolution Summary","Issues","Filer","Status","Year","Memo"
"Dominion Resources, Inc.","Electric Power","Energy efficiency report and goals","Energy Efficiency (utilities)","Elena Baum","Omitted",2013,"NOT"
"Mondelez International, Inc.","Food and Beverage","Report on feasibility of taking responsibility for post-consumer packaging","Air Pollution; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Water Pollution; 
                    
                    
                        Packaging","As You Sow","Vote: 9.5%",2013,"NOT"
"Whole Foods Market, Inc.","Food and Beverage","Report on feasibility of taking responsibility for post-consumer packaging","Air Pollution; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Water Pollution; 
                    
                    
                        Packaging","As You Sow","Vote: 7.4%",2013,"NOT"
"Kroger Co.","Food and Beverage","Report on feasibility of taking responsibility for post-consumer packaging","Air Pollution; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Water Pollution; 
                    
                    
                        Packaging","As You Sow","Vote: 12.5%",2013,"NOT"
"GenOn Energy Inc","Electric Power","Greenhouse gas emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","New York City Office of the Comptroller","Vote: 16.8%",2011,"PDF"
"Portland General Electric","Electric Power","Greenhouse gas emissions reduction goals","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","As You Sow","Withdrawn; Company will address",2011,"NOT"
"Lennar Corp.","Construction","Sustainability report including energy efficiency","Energy Efficiency (buildings); 
                    
                    
                        Sustainability Reporting","Laborers' International Union of North America","Vote: 11.2%",2012,"NOT"
"Rockwood Holdings, Inc.","Chemicals","Energy efficiency goals","Climate Change; 
                    
                    
                        Energy Efficiency (buildings); 
                    
                    
                        Energy Efficiency (industrial); 
                    
                    
                        Energy Efficiency (products)","Wesleyan University","Omitted",2013,"NOT"
"Kohl's Corp.","Big Box/Retail","Suppliers to issue sustainability reports","Supply Chain; 
                    
                    
                        Sustainability Reporting","Laborers' International Union of North America","Withdrawn; Company will address",2013,"NOT"
"Diamondrock Hospitality Co.","Real Estate","Sustainability Report","Energy Efficiency (buildings); 
                    
                    
                        Sustainability Reporting","Laborers' International Union of North America","Withdrawn; Company will address",2012,"NOT"
"Kroger Co.","Food and Beverage","Adopt and implement a comprehensive sustainable palm oil policy","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Biodiversity; 
                    
                    
                        Palm Oil","Sisters of the Presentation of the Blessed Virgin Mary","Vote; Company will address",2013,"NOT"
"FirstEnergy Corp.","Electric Power","Report on energy efficiency and renewable energy","Climate Change; 
                    
                    
                        Energy Efficiency (utilities); 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables","New York State Comptroller","Omitted",2013,"NOT"
"Ameren Corporation","Electric Power","Report on energy efficiency and renewable energy","Climate Change; 
                    
                    
                        Energy Efficiency (utilities); 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables","New York State Comptroller","Vote: 11%",2013,"NOT"
"Nabors Industries Ltd.","Oil and Gas","Sustainability report including ESG performance, greenhouse gas reductions, and water usage","Greenhouse Gas Emissions; 
                    
                    
                        Sustainability Reporting; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","Appleseed Fund","No Vote For Technical Reasons",2013,"NOT"
"Scana Corp.","Electric Power","Report on energy efficiency and renewable energy","Climate Change; 
                    
                    
                        Energy Efficiency (utilities); 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables","New York State Comptroller","Withdrawn; Ongoing dialogue",2013,"NOT"
"DTE Energy Co.","Electric Power","Report on energy efficiency and renewable energy","Climate Change; 
                    
                    
                        Energy Efficiency (utilities); 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Renewables","New York State Comptroller","Withdrawn; Company will address",2013,"NOT"
"Continental Resources Inc.","Oil and Gas","Set goals to reduce or eliminate natural gas flaring","Air Pollution; 
                    
                    
                        Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","Mercy Investment Services, Inc.","Withdrawn; Ongoing dialogue",2013,"NOT"
"Southern Company","Electric Power","Coal ash risk mitigation","Coal; 
                    
                    
                        Coal Ash; 
                    
                    
                        Water Pollution","Green Century Capital Management","Vote: 26%",2012,"PDF"
"Exxon Mobil Corporation","Oil and Gas","Climate risk report including financial impacts from extreme weather","Climate Change; 
                    
                    
                        Greenhouse Gas Emissions","The Christopher Reynolds Foundation","Omitted",2013,"NOT"
"Tesoro Corporation","Oil and Gas","Accident risk mitigation","Water Pollution; 
                    
                    
                        Worker Safety","AFL-CIO","Withdrawn; Company will address",2012,"NOT"
"Marathon Oil Corporation","Oil and Gas","Accident risk mitigation","Water Pollution; 
                    
                    
                        Worker Safety","AFL-CIO","Withdrawn; Company will address",2012,"NOT"
"Valero Energy Corporation","Oil and Gas","Accident risk mitigation","Water Pollution; 
                    
                    
                        Worker Safety","AFL-CIO","Vote: 44%",2012,"NOT"
"ConocoPhillips","Oil and Gas","Accident risk mitigation","Water Pollution; 
                    
                    
                        Worker Safety","AFL-CIO","Vote: 8%",2012,"NOT"
"Chubb Corporation","Insurance","Sustainability report including ESG performance","Sustainability Reporting","First Affirmative Financial Network, LLC","Vote: 32.2%",2013,"PDF"
"Church & Dwight Co. Inc.","Consumer Goods","Palm oil policy","Climate Change; 
                    
                    
                        Forests; 
                    
                    
                        Greenhouse Gas Emissions; 
                    
                    
                        Biodiversity; 
                    
                    
                        Palm Oil","Province of St. Joseph, Capuchin Order","Withdrawn; Company will address",2013,"NOT"
"PICO Holdings Inc.","Real Estate","Sustainability report including water","Sustainability Reporting; 
                    
                    
                        Water Pollution; 
                    
                    
                        Water Scarcity","Appleseed Fund","Withdrawn; Company will address",2012,"NOT"
"FirstEnergy Corp.","Electric Power","Coal risk exposure","Air Pollution; 
                    
                    
                        Coal","As You Sow","Vote: 11.4%",2012,"PDF"
"Ameren Corporation","Electric Power","Coal risk exposure","Air Pollution; 
                    
                    
                        Coal","As You Sow","Vote: 10.5%",2012,"PDF"
"Duke Energy Corporation","Electric Power","Coal risk exposure","Air Pollution; 
                    
                    
                        Coal","As You Sow","Vote: 12%",2012,"PDF"
"Cabot Oil & Gas Corporation","Oil and Gas","Executive compensation linked to ESG","Governance; 
                    
                    
                        Link Executive Compensation To ESG","Amalgamated Bank","Vote: 7.3%",2012,"NOT"
"Arch Coal Inc.","Mining & Resources","Mountain top removal impacts","Coal; 
                    
                    
                        Community Impacts; 
                    
                    
                        Mountaintop Removal; 
                    
                    
                        Water Pollution","Midwest Coalition for Responsible Investment","Vote: 44.7%",2012,"PDF"
"Smart Balance, Inc","Food and Beverage","Sustainability report","Sustainability Reporting","California State Teachers' Retirement System","Vote: 24.6%",2012,"PDF"
"California Water Service Group","Utilities","Sustainability report","Sustainability Reporting","California State Teachers' Retirement System","Withdrawn; Company will address",2012,"NOT"
"Exxon Mobil Corporation","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","As You Sow","Vote: 29.6%",2012,"NOT"
"Amazon.com Inc.","Retail","Climate risk disclosure","Climate Change; 
                    
                    
                        Energy Efficiency (products); 
                    
                    
                        Greenhouse Gas Emissions","Calvert Research & Management","Vote: 21.2%",2012,"NOT"
"Cheesecake Factory Incorporated","Food and Beverage","Sustainability report","Sustainability Reporting","Calvert Research & Management","Omitted",2012,"NOT"
"Southwestern Energy Co.","Oil and Gas","Executive compensation linked to ESG","Governance; 
                    
                    
                        Link Executive Compensation To ESG","Amalgamated Bank","Withdrawn; Company will address",2012,"NOT"
"Ultra Petroleum Corp.","Oil and Gas","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","As You Sow","Vote: 35.4%",2012,"NOT"
"Dominion Resources, Inc.","Electric Power","Hydraulic fracturing impacts","Community Impacts; 
                    
                    
                        Hydraulic Fracturing; 
                    
                    
                        Water Pollution","Beth Kemler","Vote: 9.1%",2012,"PDF"
