"","Value","Std. Error","t value","Pr(>|t|)"
"intercept",-0.0279594697548397,0.0550113303309965,-0.508249293129452,0.611289203924249
"post",0.0364489887345446,0.0287805548838614,1.26644496194141,0.205381918677933
"Venture",0.572759612618074,0.0536367194025195,10.6784982190982,0
"S_P_500_Qtrly_Return",-0.420262524531494,0.0879992528067974,-4.77575105613887,1.81459617465407e-06
"S_P_500_Qtrly_Return_l3",-0.132734708499193,0.0665475719660316,-1.99458379288347,0.0461141033529611
"Fourthqtr",0.0615629272114571,0.0139879851435999,4.40112901032246,1.08752651510891e-05
"firmyr.1",0.000480679011821831,0.0470074285434475,0.0102255968198208,0.991841490640154
"firmyr.2",0.0117397482482191,0.0548201795236765,0.21415012410072,0.830434147683179
"firmyr.3",0.00803333189567066,0.0553280382844656,0.145194591110709,0.884560023497724
"firmyr.4",-0.00146988312514444,0.055682322188581,-0.0263976620832433,0.978940660588238
"firmyr.5",-0.00866900605225995,0.0592629599645213,-0.146280342012107,0.883702892139404
"firmyr.6",0.0358727552933586,0.0610508506834116,0.587588131726161,0.556821415783536
"firmyr.7",0.00584508294405661,0.0629010573654627,0.0929250347906868,0.925964889949391
"firmyr.8",0.0336818888554446,0.0671278407592323,0.501757370332401,0.615848724613013
"firmyr.9",0.057529620814852,0.0646318447366869,0.890112622488656,0.373425811334759
"firmyr.10",0.031580094122968,0.0617831918593469,0.511143778308863,0.609261131500032
"post:Venture",-0.371546717345755,0.155001301653834,-2.39705546586657,0.0165447927164357
"post:S_P_500_Qtrly_Return",0.292044193846438,0.111715321384258,2.61418210347279,0.00895690552676109
"post:S_P_500_Qtrly_Return_l3",0.0127368192267327,0.0970201748170464,0.131280110046707,0.895556240875798
"post:Fourthqtr",-0.052175722362537,0.018580819753389,-2.8080420054137,0.00499357195923844
