"","Value","Std. Error","t value","Pr(>|t|)"
"intercept",-0.246821705388524,0.0575782849274,-4.28671513400824,1.83656041636837e-05
"post",-0.0737294813644094,0.0308580588568085,-2.38931041341707,0.0169051508645695
"TREATMENT",-0.00465848874412465,0.0385542487191075,-0.120829451977258,0.903829432162027
"S_P_500_Qtrly_Return",-0.0165653303559309,0.0863331174867844,-0.191876893110766,0.847843950516753
"S_P_500_Qtrly_Return_l3",0.0509753572509221,0.0753333494561103,0.676663889485236,0.498640575619788
"Fourthqtr",0.0264328148781633,0.0192906968191355,1.37023639560511,0.170655067141064
"firmyr.1",0.0601383375118496,0.05719102397508,1.05153454741523,0.293047801030344
"firmyr.2",0.0429238661044295,0.0579883017243087,0.740215954391984,0.459192666445022
"firmyr.3",-0.0614273705070064,0.0655030658173029,-0.937778556477583,0.348389108063741
"firmyr.4",-0.13469986117326,0.0657394469492549,-2.0489959594159,0.0404980220772759
"firmyr.5",-0.0838921220729369,0.0611247207225194,-1.3724745255487,0.169957739669711
"firmyr.6",-0.0862099824468988,0.063908580013842,-1.34895787745912,0.1773921488732
"firmyr.7",-0.151954139554016,0.0647500363919334,-2.34678075907532,0.0189628579954944
"firmyr.8",-0.146850301320717,0.0665976483719741,-2.20503733856338,0.0274824007520076
"firmyr.9",-0.150506929928211,0.0652513794353205,-2.30657085307137,0.0211064959848806
"firmyr.10",-0.163674558985506,0.0679212352409241,-2.40977005799341,0.0159870496433909
"post:TREATMENT",0.147707708718777,0.045867842960471,3.22028896902938,0.00128619833040644
"post:S_P_500_Qtrly_Return",0.0211269077857509,0.110108214664209,0.191874038192158,0.847846186782344
"post:S_P_500_Qtrly_Return_l3",-0.0116164434382642,0.0858237712583252,-0.135352283731501,0.892337063965263
"post:Fourthqtr",0.00510348600555903,0.0232582884087467,0.219426550908182,0.826323896588179
