"","Value","Std. Error","t value","Pr(>|t|)"
"intercept",284338.076007456,150956.584406801,1.88357518239294,0.0596289014654057
"post",99040.9120063241,52358.3491357016,1.89159730284145,0.0585510682319959
"Contribution_scale",273.275583877395,875595.710946209,0.000312102469736953,0.999750979644979
"Distribution_scale",1416486.73093097,494019.971561298,2.86726612783348,0.00414226819981889
"S_P_500_Qtrly_Return",1110034.47243785,149192.33629041,7.4402915058392,1.02140518265514e-13
"S_P_500_Qtrly_Return_l3",563527.654823975,99600.0649631132,5.65790449065146,1.54160573195838e-08
"Fourthqtr",-7818.32080122212,13431.129744069,-0.582104480427239,0.560499222533206
"firmyr.1",4073.58836611154,44912.6420152552,0.0907002612923082,0.927731166543719
"firmyr.2",9251.93196852962,78356.1207954548,0.118075421225629,0.906008425020077
"firmyr.3",-51290.1453568327,91729.1954471787,-0.559147445988095,0.576063877920296
"firmyr.4",-140772.091269358,103269.286642023,-1.36315545354096,0.17284034079334
"firmyr.5",-241546.053022299,116246.829673456,-2.07787217682251,0.0377267869991609
"firmyr.6",-312626.705158188,122795.33225686,-2.54591684726455,0.0109024176159631
"firmyr.7",-343756.358449733,117529.414283982,-2.92485383802838,0.0034478993024698
"firmyr.8",-374180.990140806,113343.801115715,-3.30129205529995,0.00096315496142152
"firmyr.9",-369078.852409648,112267.874120236,-3.2874841115667,0.00101164302923795
"firmyr.10",-369704.218672351,109397.848900459,-3.37944687567618,0.000726934516114053
"post:Contribution_scale",5909.52046007483,874577.747879888,0.00675699841940917,0.994608766249644
"post:Distribution_scale",2111723.51616952,522588.145918028,4.04089440731546,5.33360898098412e-05
"post:S_P_500_Qtrly_Return",-891645.770196702,155365.343237979,-5.7390261664143,9.58322310395943e-09
"post:S_P_500_Qtrly_Return_l3",-220477.962828701,107204.316091406,-2.05661461093333,0.0397290617723762
"post:Fourthqtr",55264.2452123383,16132.5647243329,3.42563294532969,0.000613915876653826
