,numbers,dollars
0,8.0,6.0
1,0.0,0.0
2,9.0,4.0
3,5.0,1.0
4,5.0,0.0
5,0.0,0.0
6,1.0,0.0
7,8.0,0.0
8,,
9,1.0,1.0
10,0.0,0.0
11,1.0,0.0
12,9.0,2.0
13,4.0,0.0
14,8.0,3.0
15,,
16,22.0,10.0
17,,
18,2.0,0.0
19,,
20,,
21,17.0,6.0
22,10.0,0.0
23,17.0,4.0
24,,
25,,
26,5.0,0.0
27,12.0,2.0
28,0.0,0.0
29,0.0,0.0
30,,
31,0.0,0.0
32,7.0,2.0
33,11.0,3.0
34,4.0,1.0
35,4.0,2.0
36,8.0,0.0
37,20.0,0.0
38,6.0,2.0
39,2.0,1.0
40,0.0,0.0
41,11.0,3.0
42,0.0,0.0
43,14.0,8.0
44,6.0,2.0
45,6.0,1.0
46,,
47,2.0,0.0
48,0.0,0.0
49,10.0,2.0
50,15.0,7.0
51,30.0,0.0
52,2.0,0.0
53,,
54,30.0,15.0
55,,
56,10.0,9.0
57,4.0,1.0
58,3.0,2.0
59,2.0,0.0
60,0.0,0.0
61,0.0,0.0
62,,
63,3.0,1.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,,
69,2.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,8.0,2.0
75,8.0,1.0
76,0.0,0.0
77,0.0,0.0
78,1.0,0.0
79,5.0,0.0
80,6.0,0.0
81,6.0,0.0
82,12.0,7.0
83,2.0,0.0
84,5.0,0.0
85,2.0,2.0
86,2.0,1.0
87,0.0,0.0
88,0.0,0.0
89,1.0,0.0
90,5.0,3.0
91,7.0,1.0
92,,
93,4.0,1.0
94,2.0,0.0
95,1.0,1.0
96,2.0,0.0
97,4.0,1.0
98,0.0,0.0
99,2.0,0.0
100,,
101,0.0,0.0
102,9.0,4.0
103,0.0,0.0
104,1.0,0.0
105,0.0,0.0
106,0.0,0.0
107,121.0,57.0
108,1.0,1.0
109,2.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,28.0,0.0
114,13.0,5.0
115,0.0,0.0
116,2.0,1.0
117,3.0,1.0
118,1.0,0.0
119,0.0,0.0
120,3.0,1.0
121,8.0,4.0
122,3.0,0.0
123,,
124,1.0,1.0
125,3.0,0.0
126,5.0,0.0
127,,
128,,
129,2.0,0.0
130,0.0,0.0
131,0.0,0.0
132,2.0,2.0
133,1.0,0.0
134,0.0,0.0
135,1.0,1.0
136,7.0,1.0
137,,
138,1.0,0.0
139,3.0,0.0
140,,
141,1.0,0.0
142,6.0,1.0
143,,
144,1.0,1.0
145,0.0,0.0
146,,
147,8.0,7.0
148,3.0,2.0
149,,
150,5.0,4.0
151,9.0,0.0
152,4.0,2.0
153,2.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,4.0,0.0
158,7.0,5.0
159,7.0,2.0
160,2.0,0.0
161,1.0,0.0
162,0.0,0.0
163,,
164,2.0,2.0
165,0.0,0.0
166,1.0,0.0
167,,
168,1.0,0.0
169,0.0,0.0
170,0.0,0.0
171,1.0,0.0
172,0.0,0.0
173,3.0,0.0
174,3.0,2.0
175,5.0,0.0
176,0.0,0.0
177,,
178,,
179,2.0,0.0
180,6.0,0.0
181,4.0,0.0
182,2.0,0.0
183,5.0,4.0
184,3.0,2.0
185,11.0,6.0
186,,
187,,
188,17.0,4.0
189,,
190,2.0,1.0
191,1.0,1.0
192,29.0,8.0
193,28.0,9.0
194,5.0,0.0
195,1.0,0.0
196,,
197,6.0,3.0
198,3.0,1.0
199,,
200,,
201,1.0,1.0
202,2.0,2.0
203,1.0,0.0
204,,
205,0.0,0.0
206,1.0,1.0
207,,
208,0.0,0.0
209,0.0,0.0
210,1.0,1.0
211,1.0,0.0
212,0.0,0.0
213,1.0,1.0
214,0.0,0.0
215,12.0,9.0
216,0.0,0.0
217,,
218,3.0,1.0
219,8.0,4.0
220,3.0,0.0
221,1.0,0.0
222,5.0,3.0
223,2.0,0.0
224,,
225,11.0,7.0
226,17.0,11.0
227,1.0,0.0
228,,
229,1.0,0.0
230,1.0,1.0
231,1.0,1.0
232,2.0,2.0
233,,
234,3.0,1.0
235,,
236,2.0,2.0
237,7.0,1.0
238,2.0,0.0
239,2.0,2.0
240,3.0,1.0
241,6.0,3.0
242,2.0,0.0
243,2.0,0.0
244,8.0,6.0
245,11.0,8.0
246,,
247,2.0,0.0
248,4.0,0.0
249,5.0,1.0
250,6.0,5.0
251,0.0,0.0
252,,
253,,
254,4.0,2.0
255,,
256,0.0,0.0
257,,
258,32.0,15.0
259,6.0,4.0
260,8.0,2.0
261,0.0,0.0
262,0.0,0.0
263,,
264,9.0,5.0
265,4.0,3.0
266,2.0,0.0
267,,
268,9.0,4.0
269,0.0,0.0
270,,
271,2.0,0.0
272,0.0,0.0
273,0.0,0.0
274,2.0,0.0
275,,
276,0.0,0.0
277,,
278,2.0,0.0
279,,
280,4.0,2.0
281,23.0,12.0
282,1.0,0.0
283,4.0,0.0
284,,
285,4.0,0.0
286,4.0,0.0
287,4.0,0.0
288,2.0,2.0
289,1.0,1.0
290,2.0,0.0
291,2.0,0.0
292,,
293,,
294,2.0,0.0
295,5.0,0.0
296,2.0,0.0
297,2.0,0.0
298,0.0,0.0
299,2.0,0.0
300,37.0,8.0
301,27.0,2.0
302,5.0,0.0
303,0.0,0.0
304,2.0,0.0
305,8.0,2.0
306,4.0,0.0
307,0.0,0.0
308,1.0,0.0
309,19.0,0.0
310,,
311,10.0,0.0
312,2.0,1.0
313,0.0,0.0
314,1.0,0.0
315,7.0,0.0
316,5.0,2.0
317,5.0,0.0
318,13.0,8.0
319,,
320,11.0,2.0
321,8.0,5.0
322,2.0,0.0
323,7.0,0.0
324,,
325,2.0,1.0
326,0.0,0.0
327,5.0,3.0
328,0.0,0.0
329,0.0,0.0
330,0.0,0.0
331,4.0,1.0
332,0.0,0.0
333,1.0,0.0
334,1.0,0.0
335,,
336,1.0,1.0
337,,
338,1.0,1.0
339,1.0,0.0
340,2.0,0.0
341,8.0,1.0
342,2.0,0.0
343,,
344,5.0,0.0
345,0.0,0.0
346,21.0,0.0
347,,
348,9.0,1.0
349,,
350,1.0,0.0
351,0.0,0.0
352,0.0,0.0
353,,
354,,
355,6.0,0.0
356,7.0,2.0
357,,
358,2.0,2.0
359,17.0,9.0
360,6.0,2.0
361,5.0,0.0
362,3.0,1.0
363,5.0,2.0
364,2.0,0.0
365,10.0,4.0
366,2.0,1.0
367,14.0,1.0
368,2.0,0.0
369,7.0,1.0
370,,
371,7.0,0.0
372,5.0,1.0
373,0.0,0.0
374,0.0,0.0
375,6.0,2.0
376,20.0,0.0
377,22.0,10.0
378,,
379,3.0,3.0
380,2.0,0.0
381,0.0,0.0
382,1.0,0.0
383,25.0,2.0
384,14.0,4.0
385,0.0,0.0
386,,
387,25.0,8.0
388,3.0,3.0
389,0.0,0.0
390,4.0,0.0
391,,
392,6.0,1.0
393,8.0,3.0
394,0.0,0.0
395,7.0,2.0
396,22.0,5.0
397,,
398,8.0,4.0
399,5.0,2.0
400,1.0,0.0
401,,
402,,
403,,
404,17.0,2.0
405,0.0,0.0
406,15.0,1.0
407,18.0,0.0
408,0.0,0.0
409,,
410,2.0,0.0
411,18.0,0.0
412,0.0,0.0
413,4.0,1.0
414,1.0,0.0
415,2.0,0.0
416,0.0,0.0
417,2.0,1.0
418,3.0,0.0
419,,
420,6.0,2.0
421,0.0,0.0
422,0.0,0.0
423,6.0,2.0
424,5.0,1.0
425,14.0,7.0
426,2.0,1.0
427,3.0,1.0
428,2.0,0.0
429,6.0,4.0
430,18.0,0.0
431,4.0,3.0
432,1.0,0.0
433,,
434,11.0,3.0
435,2.0,0.0
436,,
437,,
438,13.0,1.0
439,0.0,0.0
440,3.0,0.0
441,4.0,4.0
442,8.0,1.0
443,8.0,0.0
444,13.0,0.0
445,1.0,1.0
446,2.0,0.0
447,5.0,1.0
448,2.0,0.0
449,4.0,0.0
450,6.0,1.0
451,0.0,0.0
452,17.0,10.0
453,,
454,12.0,1.0
455,3.0,2.0
456,10.0,5.0
457,9.0,1.0
458,5.0,1.0
459,18.0,2.0
460,2.0,0.0
461,1.0,0.0
462,4.0,1.0
463,7.0,4.0
464,1.0,0.0
465,10.0,2.0
466,0.0,0.0
467,5.0,2.0
468,3.0,0.0
469,,
470,1.0,0.0
471,,
472,0.0,0.0
473,19.0,3.0
474,,
475,11.0,6.0
476,17.0,9.0
477,11.0,2.0
478,22.0,11.0
479,4.0,0.0
480,1.0,0.0
481,0.0,0.0
482,,
483,,
484,,
485,0.0,0.0
486,5.0,0.0
487,14.0,3.0
488,2.0,0.0
489,1.0,0.0
490,1.0,0.0
491,26.0,6.0
492,1.0,0.0
493,2.0,0.0
494,6.0,0.0
495,,
496,1.0,0.0
497,24.0,1.0
498,12.0,0.0
499,26.0,4.0
500,23.0,0.0
501,5.0,3.0
502,12.0,3.0
503,8.0,3.0
504,1.0,0.0
505,46.0,38.0
