Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),Comments (optional),top_3_strengths,top_3_improve,other_feedback
,,,,,,,,,,,,,,,,,,,,,,
Children really need to be tracked more based on their intellectual abilitiles.,,,,,,,,,,,,,,"I still think that there is not enough social training at the school.  Too many students are made to feel left out, and the only ones that can impose this on students are the teachers.  They often are useless when you complain that their kid feels left out or was treated meanly.",,,,,,"It's small, you do get a good education.","Better socialization of children, to act more like Christians, even if it's painful to do and not natural.",
,Some of the books available to the kids in the library are woefully out of date or just bad. ,Same as above. Library books need to be vetted more carefully. ,,,,,,,,,,,,,,,,,,Availability of teachers and administrators; genuine desire by teachers to help each student,"Library books; consistency and quality of emails, surveys, sign-ups, and general communications sent by teachers",
,,,,"Sometimes too much! I feel like constant communication can take away time teachers use to plan, implement, or even take a break!",,,,,,,,,,,,,"I wish that the school newsletter could be released at the same time each week. Sometimes it comes in the morning, sometimes not until around dinner time. I would like it to be consistent.",,"If there would be a way to change the facts emails from saying ACTION NEEDED! If you have automatic deductions then, technically, no action is needed.","Teacher dedication to students, active parent community","Fuller participation at Mass - kids singing, engaged in spoken responses, not so many potty breaks (save for actual illness or emergencies), fewer demands on teachers' time so they can focus on classroom time. A more relaxed approach, at least for the children, surrounding istep time...maybe a small celebration leading into and coming out of so the children don't feel too worked up about the process.","I would love to have more information about how to help kids succeed in the everyday math program. My kids aren't necessarily struggling, but as they move on it's harder, as a parent, to help them when they have homework questions or are struggling with a particular topic."
,,,,"I would like the reinstatement of the old program whereby students who don't complete homework do so during recess, and parents get an e-mail message.",,,It would be good to hear presentations from each teacher (we only had presentations from one this year).,,,,,,,,,"I've found that some of the teachers' websites aren't kept updated, which makes it hard to track homework.  ",,,,"Clear communication with parents, strong academic program, great religion teachers",Making sure teacher webpages are regularly updated and easy to use?,
,,,,,,,"I would like specials teachers to be available on back to school night as well. Perhaps in the gym alongside the HASA table, etc. it would be nice to learn more about curriculum for gym, music, art, computers, etc. as well as see what extra curriculars are all about and what is offered at each grade level.",,,,"Lego league and chess club shouldn't overlap, but that May no to be something the school has any input in.",,,,Could use a little updating when it comes to extra curriculars,,,,,"Community, catholic education, academics",,
,,,,,,,,,,,,,,,,,,,,"the teachers, the overall positive environment, curriculum",,
Mishawaka public school Curriculum is ahead of SJGS - at least for 1st grade,,,,"Mid term forms sent home without notice or comment as to improvement or decline - our family was never approached on concerns or recommendations, we feel blindsided",graphs are hard to understand  - graphs have been inaccurate in the past,He's doing great in the fall - and a declined mid term in 2017 report should require parent/teacher interaction,,,,,,,,,,"I would appreciate more communication, especially through the app tool we were suggested to utilize on our smart devices.  I'd like more notice.  Busy families can not be reactive, we must be prepared in order to be successful",,,,"Faith, principal visibility, family parish community involvement","Teacher Communication to parents, a kinder approach towards the children in a less condescending tone, engaged teachers, less children to teacher ratio","I feel like my teacher plans and instructs from a workbook.  I feel that the sheets sent home are generic and not adapted to her or the children at SJGS.  I don't feel that there is an interactive learning environment - more like technology is entertaining and teaching the children.  Computers are scoring the success or lack there of for the child.  The teachers aren't engaged in individual results.  The graph above I rated what the importance is to my family in choosing SJGS - but it is NOT what we're getting out of SJGS.  We chose SJGS and if we're not getting what we need, we will have to eventually leave SJGS."
,"I think this varies by grade.  In general, though, I do not believe we have enough resources for students who fall outside the norm, academically.",,,"Again, this varies by grade.  Everyone jokes that 3rd grade is over communicative, but I really appreciated that.  Now that we're in 4th grade, we get virtually no communication outside of the standard progress reports.","In general, this is true.  We just received progress reports, and I'm a little concerned about the 4th grade.  Every assignment has a grade on it, regardless of how few questions on the assignment.  Our fourth grader, generally does quite well, but it's a stark moment to see a good number of A's mixed in with D's and F's.  I'm able to understand that the D's and F's are because there are fewer questions, but for a child with their first time getting grades, that can be confusing.  I would love to see more substantial assessments to provide a more even grade distribution.","I agree, but have always wondered why we don't do these in the spring also.  Many of the fall conferences focus on work from the first weeks of school.  It would be really helpful to see progression over the course of the academic year.",,,,"I think the one weakness in this area that I see is in the lunch room.  There seems to be a LOT of yelling at the students, often times with ambiguous rationale.  I actually remember one incident where the teacher demanded quiet time and said, ""You all KNOW why this just happened."" and a student softly said (within my earshot), ""Actually, we really don't.""",,,,,,,The weekly newsletters are great.,,We love FACTS!,"The community, The Catholic Identity, The teachers know and care for my children.","Student teacher ratio, there needs to be more consistency between grades in quality of education, We could use more opportunities for students who fall outside the normal range in their academics.",
,,,,,,"I wish the time slot had been a little longer to have a more in-depth conversation, but I know that is probably too much to ask of the teachers given the number of conferences in which they must participate.",,,,,,,,,,"The weekly e-newsletters are wonderful in helping parents to feel more connected to what is happening in the classroom.  The teacher clearly invests a great deal of time in the newsletters and they are so appreciated!  One opportunity for enhancement might be to provide a little section on terminology being used in the classroom so we can reinforce it at home.  I can piece together what ""ten frames"" and the ""h brothers"" are, but it would be great to have that information directly from the teacher.",,,,"Community, caring teachers and aides, strong academics","I would like SJGS to review the recent research on the benefits of sufficient outdoor playtime, particularly for younger students.  I wonder if there might be opportunities to incorporate more such time in the students' days in such a way that it actually enhances their educational experience.",
,,,,,,,,,,,,,,,,,,,,"Community, involvement of parents, faculty.",,Our son is very happy and loves going to school every day.
"We have struggled with the approach used in our 4th grader's class.  Our child is doing well, but rather than push our child further, the teach has stated that our child ""is a great help in teaching the other kids who are a little behind"". This was stated during parent teacher conferences. I am not sending my child to school to teach other children.",,,In our 5 years at SJGS we have found that K-2 teachers are very engaged and enthusiastic. Our experience with 3rd and 4th grade teachers have been quite different.,"At our parent teacher conference for our 2nd grader we were told our child was doing well, however, over the past few weeks, as graded assignments have come home, we have noticed that our child is not performing as well as the teacher led us to believe.  Progress reports show our child around the class average in all areas, but we are unsure if this is accurate based on work coming home.",,,,,,,,,,,,,,,,"The community established through parishioners and parents is very strong. 
The FACTS method for payment is 100% better than the previous system
The teachers in grades K-2 are very good","Teachers in grades 3-4, cannot speak to above 4th grade
Increased focus on facilitating growth for ALL students, academically, regardless of their ability level.
Focus on catholic teachings in school taking away from areas such as math and science",
,,,My child doesn't find Spanish teacher to be very approachable. Complains she smells like cigarette smoke.,,,,,,,,,,,,,,,,,"Academics, catholic, and disciplined environment",Hot lunch program is horrible.  Go back to the way it used to be.,We like Mr. Azar.
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Cirriculum, community, teachers",I have a concern about the amount of time for the junior high teachers to return assignments in a timely fashion. ,Love the new gym!!
I love the Literature-based curriculum the most.  I would appreciate more field trips and experiential and/or project based learning across the curriculum.,"Mrs. Han should receive additional praise as she routinely offers to ""tutor"" and help students above and beyond the regular school day.",,,,,,,"I'd like to see more connections to ""living our Faith"".  I think in these trying times, it is imperative for young people to ask and to know how Catholics are called to include others and honor our neighbors.","The entire ""demerit"" system and/or ""yellow slip"" is not reflective of a Catholic, love-as-center practice.","Again, we need to nurture children and guide them through appropriate decision-making, not always reprimand, take-away, or punish them.","I wish more of the upper elementary/Middle School teaching included ""Centers"" where students could choose activities based on integrated learning.","I work 9-5 and yet I wish I could be more involved.  Yet, I simply can not volunteer during the day.  ",Having come from a Catholic community where everyone knew each other and the culture welcomed family.  I often find that SJGS is only interested in comparing lifestyles/material wealth/and university status.,,,,,,,"Teachers, Community Service, History",School Culture of Love and Good Deeds/ Alternative discipline / Experiential Learning,"Have enjoyed the pep rallies and other all-school activities.  Maybe also look at more opportunities for Middle Schoolers to socialize in healthy, supervised ways."
,,,,,"I would prefer receiving, either in writing or in person, an overall description of my child's performance, strengths, and weaknesses.  The information provided in the most recent group seemed to me to be relatively discrete data points (how many math facts in a minute versus progress in mathematical thinking) that doesn't tell me much about progress.  The NWEA makes up for some of that, but without a more detailed description of what precisely it's evaluating, its just a percentile score measured against a national average.  That's also not particularly telling.","I would like to have the information discussed during the conference available to me in advance so that I am prepared to discuss it meaningfully rather than presented with it in the course of the conversation.  I also think spring conferences should be offered as matter of course, not simply on an as-needed basis.","My experience is that these tend to be too general.  It's nice to meet the teacher, but in substance, it is hard to communicate expectations before the year has begun.  I'd almost rather be in to the year so that I can ask substantive questions that don't occur before my child starts coming home with corrected work, talking about classroom management or playground issues, etc.",,,,"The variety and strength of extra curriculars, even for younger children, is impressive.",,"I wish character education and problem solving between students were a more obvious part of the curriculum.  Godlines are a great start, but it's not clear to me that those are used on a day-to-day basis to help children work through conflict and simply build Christian friendships.",,"I'd really like to see the website interface improved substantially.  Information is too buried, and it could use a visual upgrade as well.  I do very much appreciate the google calendar and its availability for our smartphones (although I wish there was a feature like last year that allowed you to turn off the athletic calendar, or, better yet, to turn it on for a particular sport or team).",I would prefer to receive things by email than by paper format in the folder each week.  I'd also prefer a little more detail than comes in the standard weekly newsletter.,This is an excellent format with digestible information and appropriate links.,,,1. community 2. results 3.encouraging not just an understanding but a love of our faith,"1. For parents, I'd like the school to conduct more thorough presentations on research supporting its pedagogical approach to math or science, etc.  I'd like to hear what is being done and WHY.  2. I'd like to see a second recess for students on the bottom floor, even if it is just 10 minutes, at least on the days when they don't have gym. 3. I'd like to see the dress code expanded to include more of the spirit wear.  Some of the things not allowed are more polished and professional looking than what is allowed.  Moreover, my child has few opportunities to wear non-uniform clothes in his life.  I'm not going to spend the money on SJGS-branded things for Saturdays.",
Love that math has been broken into levels.  Understand the challenge of doing that with alll subjects.  Usually Paige does not have a lot of homework.  Sometimes that is several days in a row.  Don''t want culture shock when she gets to the high school.,,,,,,,,,,,,,,,I,,,,,"The ability to implement change for the good of the students,  wanting to do better so you seek input, and ....",Our oldest struggled when she went to high school with science.  Haven't really seen any change in the curriculum with Paige.  Afraid we will run into the same issue.  ,"Not liking the hot lunch selections.  I understand wanting to provide healthy lunches however what good is that if they won't eat them, so I don't purchase them.  I did not think Subway, jimmy Johns or even the pizza was so bad.  If you deny kids these things will just cause different eating problems.  If we teach our children to exercise not sit in front of the tv or their phones these things are not so bad. "
,,,,,,,,,,"We are living in a politically correct culture that has adopted a philosophy of correcting children collectively for the act of a few children, as we don't want to isolate or shame the child or children responsible for an act.  In our humble opinion, each child needs to be made accountable individually and potentially isolated if the behavior continues, such that it does not impact the rest of the children.",,,"Strongly, Strongly agree!",We would and we have.,,,,,,"Teachers, Adminsitration and curriculum.","Discipline, Discipline, Discipline!",Keep up the good work!
,,,,,,,,,,,,,,,,,,,,,,
Thankful for the challenges!,,,,,,,,,,,,,,,,,,,,"Teachers, Staff, Resources",,
,,,,,,,,,,,,,,,,,,,,"It has a strong community environment, both for students and parents.
It has a highly regarded academic reputation within the SB community.
It does a good job of forming kids to be compassionate and kind people with a strong sense of Christian values.","For the eighth graders, you might consider better preparation on the concept of taking finals in high school. I know this is a tough transition for many kids.

Provide more social opportunities for the junior high (a dance? a supervised movie-watch at the school?)",
,Great support staff!  I only wish that parents would be told beforehand who is going to be working with their child.  I've received communication from people I've never even heard of giving information about my child's progress that is sometimes contradictory to what's been reported in progress reports or report cards. ,"I have been shocked at the number of worksheets I've seen come home this year.  Around 30 a week for a 2nd grader.  I understand worksheets have their place but I expected to see much more authentic and engaging forms of instruction, practice and assessment. ",,,,,,,,,,,,,,Our child's second grade teacher excels at this but our child's Kindergarten teacher struggles with this. When emailed it often takes more than 1 email and a few days to get a response and often times the response doesn't help with the original issue.  Weekly newsletters are often sent the next week and I think there are weeks that we haven't gotten a newsletter at all.  ,,,,"positive environment, wonderful support staff, many opportunities for parent involvement ","More current instruction methods, more consistent teacher communication ",
,,,,,,,,,,"Discipline in open settings (by which I mean non-classroom such as in lunch and recess) seems overly restrictive in cases. Children are going to want to socialize during lunch, for example, and that seems relatively forbidden.",,,,,Have not used it,,,,,"Teachers, administrators, curriculum","Discipline, extracurricular availability for younger students, level of difficulty",
,,,,Just a a few teachers.  My child had an F in a class due to three missing assignments.  I wish the teacher had reached out to me.  ,Report Cards - yes.  Progress Reports - no.  I received an email stating my child grade was below an 80%.  (I KNEW THIS)!  ,,,,,My child has not gotten into trouble.,,,,,,,,Think I did it correctly...Hope I did!,,Resource teachers and programs.   High standards.  Catholic environment.,Teachers use of PowerSchool.  Not stressing over little non-important things.,
"I do not like otter creek, the time restrant is frustrating for my child who can do the problems just fine with out it.",,,,,,Wish they were a little longer,,,,,,,,,,,,,,"Community, faith, education",Longer parent teacher conferences,
