"permco","permno1","permno2","permno3","fyear","Target_CUSIP","Target_Name","Acquiror_Name","Status","Acquiror_Primary_Ticker_Symbol","Target_Primary_Ticker_Symbol","Acquiror_Ticker_Symbol","Target_Ticker_Symbol","Acquiror__CUSIP","sdc_Deal_Number","year_acq_ann","month_acq_ann","yearmonth_acq_ann","yearmonth_acq_ann_complete","acq_complete","year_acq_ann_complete","month_acq_ann_complete","price_per_share","Target_Share_Price_4_Weeks_Prior","Target_Share_Price_1_Week_Prior","Target_Share_Price_1_Day_Prior","percentage_Shares_acq","perc_owned_after_transaction","percentage_shares_sought","Date_Announced","Date_Effective","Date_Withdrawn"
270,14286,,,1972,"61945R","Moscow CableCom Corp","Renova Media Enterprises Ltd","Completed",,"MOCC",,"MOCC","76047K",1809136020,2006,11,24083,24083,1,2006,11,12.9,8.58,10.25,9.99,77.34,100,77.3,11/6/2006,7/19/2007,
563,18455,,,1972,"093644","Block Drug Co","SmithKline Beecham PLC","Completed","SBH","BLOCA","SBH~SBH","BLOCA","832378",1053783020,2000,10,24010,24010,1,2000,10,53,26.875,27,27.5,100,100,100,10/9/2000,1/16/2001,
659,19589,,,1973,"116881","Bruno's Inc","Ahold USA Inc","Completed",,,,,"00867B",1484979020,2001,12,24024,24024,1,2001,12,,,,,100,100,100,12/12/2001,12/12/2001,
659,19589,,,1973,"116881","Bruno's Inc","Kohlberg Kravis Roberts & Co","Completed",,"BRNO",,"BRNO","50025Q",463113020,1995,4,23944,23944,1,1995,4,12,9,9.375,9.313,100,100,100,4/20/1995,8/18/1995,
659,19589,,,1973,"116881","Brunos Inc","Lone Star Funds","Completed",,,,,"54226Y",1484980020,2004,12,24060,24060,1,2004,12,,,,,100,100,100,12/23/2004,1/30/2005,
687,19992,,,1972,"123655","Butler Manufacturing Co","BlueScope Steel Ltd","Completed","BSL","BBR","BSL","BBR","09625O",1494103020,2004,2,24050,24050,1,2004,2,22.5,22.07,22.6,22.1,100,100,100,2/15/2004,4/27/2004,
876,41444,,,1974,"00371W","Ablest Inc","Koosharem Corp","Completed",,"AIH",,"AIH","50501E",1856203020,2007,4,24088,24088,1,2007,4,11,7.48,7.39,7.4,100,100,100,4/4/2007,6/11/2007,
1221,25348,10195,,1972,"203349","Commonwealth Telephone Entrp","Citizens Communications Co","Completed","CZN","CTCO","CZN~CZN_P","CTCO","17453B",1793733020,2006,9,24081,24081,1,2006,9,41.72,34.19,35.6,38.52,100,100,100,9/17/2006,3/8/2007,
1251,32599,,,1983,"292573","Endata Inc","First Financial Management","Completed","FFM","DATA","FFM","DATA","320245",23156020,1987,8,23852,23852,1,1987,8,14.37,10,9.375,10,100,100,100,8/20/1987,10/30/1987,
1257,28178,,,1981,"233031","DBA Systems Inc","Titan Corp","Completed","TTN","DBAS","TTN","DBAS","888266",723802020,1998,1,23977,23977,1,1998,1,8.48,6.75,5.875,6.125,100,100,100,1/6/1998,3/2/1998,
1280,63554,,,1972,"242361","Dean Foods Co","Suiza Foods Corp","Completed","SZA","DF","SZA","DF","865077",1171759020,2001,4,24016,24016,1,2001,4,40.92,33,32.37,32.5,100,100,100,4/5/2001,12/21/2001,
1308,29744,,,1972,"691829","OXIS International Inc","Axonyx Inc","Completed","AXYX","OXIS","AXYX","OXIS","05461R",1468678020,2004,1,24049,24049,1,2004,1,,0.47,0.59,0.79,53,53,53,1/20/2004,1/30/2004,
1387,65226,65234,,1980,"23330X","DRS Technologies Inc","Finmeccanica SpA","Completed","FNC","DRS","FNC","DRS","318027",1976738020,2008,5,24101,24101,1,2008,5,81,58.81,63.49,63.74,100,100,100,5/12/2008,10/22/2008,
1388,28522,,,1972,"237415","Dart Group Corp","Richfood Holdings Inc","Completed","RFH","DARTA","RFH","DARTA","763408",751107020,1998,4,23980,23980,1,1998,4,160,132,143,140,100,100,100,4/9/1998,5/15/1998,
1715,63597,79900,,1973,"355824","Fredericks of Hollywood Inc","Investor Group","Completed",,"FHO",,"FHO","46145M",559742020,1997,6,23970,23970,1,1997,6,7.75,4.69,4.25,4.13,100,100,100,6/16/1997,9/30/1997,
1715,63597,79900,,1973,"355824","Fredericks of Hollywood Inc","Movie Star Inc","Completed","MSI",,"MSI",,"624591",1823534020,2006,12,24084,24084,1,2006,12,,,,,100,100,100,12/18/2006,1/28/2008,
1718,35781,,,1972,"059790","BancWest Corp,Honolulu,HI","BNP Paribas SA","Completed","BNP","BWE","BNP~BNPA~BNPP","BWE","05699R",1180904020,2001,5,24017,24017,1,2001,5,35,23.92,24.95,24.98,56.54,100,56.5,5/7/2001,12/20/2001,
1964,39328,,,1972,"381010","Golden Enterprises Inc","Utz Quality Foods Inc","Completed",,"GLDC",,"GLDC","91766Y",2985195020,2016,7,24199,24199,1,2016,7,12,6.6,7.39,7.5,100,100,100,7/19/2016,10/3/2016,
2012,40097,,,1972,"39787M","Grey Global Group Inc","WPP Group PLC","Completed","WPPGY","GREY","WPPGY","GREY","929309",1589099020,2004,9,24057,24057,1,2004,9,1005,785.25,915,881,100,100,100,9/13/2004,3/7/2005,
2113,41420,41428,,1972,"422660","Hechinger Co","Leonard Green & Partners LP","Completed",,"HECHB",,"HECHB","52654M",670815020,1997,6,23970,23970,1,1997,6,3,3.188,3.25,3.5,100,100,100,6/17/1997,9/25/1997,
2196,59301,,,1972,"410550","Hannaford Bros Co","Food Lion Inc","Completed","FDLN","HRD","FDLN","HRD","344775",915899020,1999,8,23996,23996,1,1999,8,79,56.063,56.25,63.688,100,100,100,8/18/1999,7/31/2000,
2348,45103,75493,,1973,"459373","International Dairy Queen Inc","Berkshire Hathaway Inc","Completed","BRKA","INDQA","BRKA","INDQA","084670",704384020,1997,10,23974,23974,1,1997,10,27,24.688,24.75,24.125,100,100,100,10/21/1997,1/7/1998,
2383,43327,,,1981,"033490","Andataco Inc","nStor Technologies Inc","Completed","NSO","ANDA","NSO","ANDA","67018N",857708020,1999,3,23991,23991,1,1999,3,,0.719,0.625,0.563,75,75,75,3/3/1999,6/9/1999,
2397,43407,,,1981,"450135","ISC Systems Corp","Ing C Olivetti & Co SpA","Completed","OLIV","ISCS","OLIV","ISCS","681062",122034020,1988,12,23868,23868,1,1988,12,12.25,6.25,6.75,7.375,100,100,100,12/22/1988,5/5/1989,
2466,46739,46747,,1979,"480206","Jones Intercable Inc","Comcast Corp","Completed","CMCSK","JOIN","CMCSK","JOIN","200300",911935020,1999,8,23996,23996,1,1999,8,71.4,50.875,43.75,44.625,61.73,100,61.7,8/9/1999,3/2/2000,
2559,47969,,,1973,"498782","Knape & Vogt Manufacturing Co","Wind Point Partners","Completed",,"KNAP",,"KNAP","97315T",1734933020,2006,2,24074,24074,1,2006,2,19,14.1,16,16.07,100,100,100,2/10/2006,7/28/2006,
2566,61137,,,1973,"499158","Knogo Corp","Sensormatic Electronics Corp","Completed","SRM","KNO","SRM","KNO","817265",422163020,1994,7,23935,23935,1,1994,7,17.64,14,16.5,15.875,100,100,100,7/27/1994,1/4/1995,
2723,49729,,,1972,"016090","Aliant Communications Inc","Alltel Corp","Completed","AT","ALNT","AT~ALTEO","ALNT","020039",823762020,1998,12,23988,23988,1,1998,12,39.13,30,31,30.87,100,100,100,12/18/1998,7/2/1999,
2732,50287,,,1982,"550553","Luther Medical Products Inc","Becton Dickinson & Co","Completed","BDX","LUTH","BDX","LUTH","075887",802330020,1998,10,23986,23986,1,1998,10,4.7,2,2.313,2.875,100,100,100,10/14/1998,1/26/1999,
2777,51693,76670,,1972,"571783","Marsh Supermarkets Inc","Sun Capital Partners Inc","Completed",,"MARSA",,"MARSA~MARSG~MARSB","86665A",1757344020,2006,4,24076,24076,1,2006,4,11.13,8,8.06,10.2,100,100,100,4/20/2006,9/27/2006,
2896,52581,,,1981,"584907","Medical Graphics Corp","Angeion Corp","Completed","ANGN","MGCC","ANGN","MGCC","03462H",925898020,1999,9,23997,23997,1,1999,9,2.15,1.688,1.438,1.563,100,100,100,9/23/1999,12/21/1999,
2959,12058,,,1982,"62545K","Multimedia Broadcasting Co","Multimedia Broadcasting Co","Completed","MMEDC","MMEDC","MMEDC","MMEDC","62545K",165775020,1985,5,23825,23825,1,1985,5,54,0,0,0,100,100,100,5/2/1985,9/26/1985,
2991,54827,76234,,1973,"608554","Molex Inc","Koch Industries Inc","Completed",,"MOLX",,"MOLX~MOLX.A~MOLA","49989T",2564516020,2013,9,24165,24165,1,2013,9,38.5,30.72,29.02,29.34,100,100,100,9/9/2013,12/9/2013,
3161,56363,,,1972,"639480","NDCHealth Corp","Investor Group","Completed",,"NDC",,"NDC","46145M",1654414020,2005,8,24068,24068,1,2005,8,19.5,15.35,15.3,15.04,100,100,100,8/29/2005,1/6/2006,
3355,58077,,,1973,"004308","Acceptance Insurance Cos Inc","Reservoir Capital Group LLC","Completed",,"AICIQ",,"AICIQ","76105X",923765020,1999,9,23997,23997,1,1999,9,7,0,0,0,52.4,52.4,52.4,9/27/1999,9/27/1999,
3430,64531,12249,,1972,"743862","Provident Cos","UNUM Corp","Completed","UNM","PVT","UNM","PVT","903192",813450020,1998,11,23987,23987,1,1998,11,35.13,29.188,32.438,33.375,100,100,100,11/23/1998,6/30/1999,
