,permco,permno1,permno2,permno3,fyear,Target_CUSIP,Target_Name,Acquiror_Name,Status,Acquiror_Primary_Ticker_Symbol,Target_Primary_Ticker_Symbol,Acquiror_Ticker_Symbol,Target_Ticker_Symbol,Acquiror__CUSIP,sdc_Deal_Number,year_acq_ann,month_acq_ann,yearmonth_acq_ann,yearmonth_acq_ann_complete,acq_complete,year_acq_ann_complete,month_acq_ann_complete,price_per_share,Target_Share_Price_4_Weeks_Prior,Target_Share_Price_1_Week_Prior,Target_Share_Price_1_Day_Prior,percentage_Shares_acq,perc_owned_after_transaction,percentage_shares_sought,Date_Announced,Date_Effective,Date_Withdrawn,const,creturn,param1,tvalue1,tvalue2
0,270,14286,,,1972,61945R,Moscow CableCom Corp,Renova Media Enterprises Ltd,Completed,,MOCC,,MOCC,76047K,1809136020,2006,11,24083,24083,1,2006,11,12.9,8.58,10.25,9.99,77.34,100.0,77.3,11/6/2006,7/19/2007,,0.00028962311800776613,0.0817163337515665,0.02367201626332771,0.5875733179651261,2.1081159763870403
1,563,18455,,,1972,093644,Block Drug Co,SmithKline Beecham PLC,Completed,SBH,BLOCA,SBH~SBH,BLOCA,832378,1053783020,2000,10,24010,24010,1,2000,10,53.0,26.875,27.0,27.5,100.0,100.0,100.0,10/9/2000,1/16/2001,,0.0001243161493028976,0.081869394205528,0.05659809984989942,0.12415342414875456,2.719634677488119
2,659,19589,,,1973,116881,Bruno's Inc,Ahold USA Inc,Completed,,,,,00867B,1484979020,2001,12,24024,24024,1,2001,12,,,,,100.0,100.0,100.0,12/12/2001,12/12/2001,,,,,,
3,659,19589,,,1973,116881,Bruno's Inc,Kohlberg Kravis Roberts & Co,Completed,,BRNO,,BRNO,50025Q,463113020,1995,4,23944,23944,1,1995,4,12.0,9.0,9.375,9.312999999999999,100.0,100.0,100.0,4/20/1995,8/18/1995,,0.000412187625172565,0.2615707496567469,0.02961259879968447,1.1704995863588181,2.3719784194580815
4,659,19589,,,1973,116881,Brunos Inc,Lone Star Funds,Completed,,,,,54226Y,1484980020,2004,12,24060,24060,1,2004,12,,,,,100.0,100.0,100.0,12/23/2004,1/30/2005,,,,,,
5,687,19992,,,1972,123655,Butler Manufacturing Co,BlueScope Steel Ltd,Completed,BSL,BBR,BSL,BBR,09625O,1494103020,2004,2,24050,24050,1,2004,2,22.5,22.07,22.6,22.1,100.0,100.0,100.0,2/15/2004,4/27/2004,,0.0012229077645882869,-0.011265763715769416,0.11637328041052272,2.135612096589811,2.7443500188128636
6,876,41444,,,1974,00371W,Ablest Inc,Koosharem Corp,Completed,,AIH,,AIH,50501E,1856203020,2007,4,24088,24088,1,2007,4,11.0,7.48,7.39,7.4,100.0,100.0,100.0,4/4/2007,6/11/2007,,0.0004994055471045063,0.37118956342229154,0.006127440810310705,0.9900674749357226,0.26965496298327113
7,1221,25348,10195.0,,1972,203349,Commonwealth Telephone Entrp,Citizens Communications Co,Completed,CZN,CTCO,CZN~CZN_P,CTCO,17453B,1793733020,2006,9,24081,24081,1,2006,9,41.72,34.19,35.6,38.52,100.0,100.0,100.0,9/17/2006,3/8/2007,,0.0002518550361292124,0.047611317055109036,0.3450069159756866,0.5827930480587561,8.25576588550371
8,1251,32599,,,1983,292573,Endata Inc,First Financial Management,Completed,FFM,DATA,FFM,DATA,320245,23156020,1987,8,23852,23852,1,1987,8,14.37,10.0,9.375,10.0,100.0,100.0,100.0,8/20/1987,10/30/1987,,0.0012038349158140997,0.3439717188982322,0.04742280402103807,2.146594576219198,2.4449525850691054
9,1257,28178,,,1981,233031,DBA Systems Inc,Titan Corp,Completed,TTN,DBAS,TTN,DBAS,888266,723802020,1998,1,23977,23977,1,1998,1,8.48,6.75,5.875,6.125,100.0,100.0,100.0,1/6/1998,3/2/1998,,0.0008184709951290291,0.15972649098208674,0.06685329973246784,1.1226873918557096,2.998850979980362
10,1280,63554,,,1972,242361,Dean Foods Co,Suiza Foods Corp,Completed,SZA,DF,SZA,DF,865077,1171759020,2001,4,24016,24016,1,2001,4,40.92,33.0,32.37,32.5,100.0,100.0,100.0,4/5/2001,12/21/2001,,-0.001359497273828095,0.14644797965914852,0.036817690325292654,-1.3595205852481618,0.9244345173375754
11,1308,29744,,,1972,691829,OXIS International Inc,Axonyx Inc,Completed,AXYX,OXIS,AXYX,OXIS,05461R,1468678020,2004,1,24049,24049,1,2004,1,,0.47,0.59,0.79,53.0,53.0,53.0,1/20/2004,1/30/2004,,,,,,
12,1387,65226,65234.0,,1980,23330X,DRS Technologies Inc,Finmeccanica SpA,Completed,FNC,DRS,FNC,DRS,318027,1976738020,2008,5,24101,24101,1,2008,5,81.0,58.81,63.49,63.74,100.0,100.0,100.0,5/12/2008,10/22/2008,,-0.0005791657823893386,0.12854396841627758,0.4358921038791657,-0.7608327432891371,10.041451611993567
13,1388,28522,,,1972,237415,Dart Group Corp,Richfood Holdings Inc,Completed,RFH,DARTA,RFH,DARTA,763408,751107020,1998,4,23980,23980,1,1998,4,160.0,132.0,143.0,140.0,100.0,100.0,100.0,4/9/1998,5/15/1998,,0.0011615369543270624,0.1534167700638752,0.06694742931014395,1.6103569977138505,2.099370069304338
14,1715,63597,79900.0,,1973,355824,Fredericks of Hollywood Inc,Investor Group,Completed,,FHO,,FHO,46145M,559742020,1997,6,23970,23970,1,1997,6,7.75,4.69,4.25,4.13,100.0,100.0,100.0,6/16/1997,9/30/1997,,0.0011328946646926572,0.12989778913358754,-0.014924453289207947,2.2217655840217065,-1.0377043321841666
15,1715,63597,79900.0,,1973,355824,Fredericks of Hollywood Inc,Movie Star Inc,Completed,MSI,,MSI,,624591,1823534020,2006,12,24084,24084,1,2006,12,,,,,100.0,100.0,100.0,12/18/2006,1/28/2008,,,,,,
16,1718,35781,,,1972,059790,"BancWest Corp,Honolulu,HI",BNP Paribas SA,Completed,BNP,BWE,BNP~BNPA~BNPP,BWE,05699R,1180904020,2001,5,24017,24017,1,2001,5,35.0,23.92,24.95,24.98,56.54,100.0,56.5,5/7/2001,12/20/2001,,-0.0014686369622209725,0.24376771505229533,0.27991832457604815,-1.4878098274275111,6.826844292820542
17,1964,39328,,,1972,381010,Golden Enterprises Inc,Utz Quality Foods Inc,Completed,,GLDC,,GLDC,91766Y,2985195020,2016,7,24199,24199,1,2016,7,12.0,6.6,7.39,7.5,100.0,100.0,100.0,7/19/2016,10/3/2016,,0.0002674005768089604,0.4931837749520743,-0.018996984290726212,0.36712522423879335,-0.6795830817312657
