,permno,Date_Announced
0,14286.0,11/6/2006
1,18455.0,10/9/2000
2,19589.0,12/12/2001
3,19589.0,4/20/1995
4,19589.0,12/23/2004
5,19992.0,2/15/2004
6,41444.0,4/4/2007
7,25348.0,9/17/2006
8,32599.0,8/20/1987
9,28178.0,1/6/1998
10,63554.0,4/5/2001
11,29744.0,1/20/2004
12,65226.0,5/12/2008
13,28522.0,4/9/1998
14,63597.0,6/16/1997
15,63597.0,12/18/2006
16,35781.0,5/7/2001
17,39328.0,7/19/2016
18,40097.0,9/13/2004
19,41420.0,6/17/1997
20,59301.0,8/18/1999
21,45103.0,10/21/1997
22,43327.0,3/3/1999
23,43407.0,12/22/1988
24,46739.0,8/9/1999
25,47969.0,2/10/2006
26,61137.0,7/27/1994
27,49729.0,12/18/1998
28,50287.0,10/14/1998
29,51693.0,4/20/2006
30,52581.0,9/23/1999
31,12058.0,5/2/1985
32,54827.0,9/9/2013
33,56363.0,8/29/2005
34,58077.0,9/27/1999
35,64531.0,11/23/1998
36,63749.0,5/31/1995
37,64291.0,2/27/1997
38,61620.0,5/19/1995
39,66799.0,8/8/2006
40,66967.0,7/16/2004
41,68401.0,6/19/2009
42,69682.0,4/7/2000
43,57963.0,6/16/1995
44,70790.0,9/29/2000
45,72486.0,5/2/2012
46,73083.0,4/5/1996
47,68938.0,8/26/1997
48,57067.0,2/21/2006
49,57067.0,10/31/2011
50,60003.0,3/24/1995
51,60003.0,1/19/1999
52,83417.0,10/21/1986
53,83433.0,6/30/2006
54,57648.0,9/22/1997
55,65509.0,6/13/2013
56,74895.0,1/26/2001
57,40361.0,11/17/1986
58,79119.0,4/1/1996
59,12424.0,2/18/1994
60,11983.0,6/20/2003
61,43167.0,2/14/2005
62,17671.0,5/22/2012
63,16193.0,8/11/2000
64,16193.0,2/28/2006
65,82502.0,12/19/1995
66,65306.0,2/4/1993
67,78992.0,12/22/2003
68,66413.0,7/22/2004
69,34818.0,3/17/2014
70,20571.0,12/27/2006
71,68006.0,9/22/1987
72,31318.0,10/30/2007
73,74070.0,6/14/2000
74,74070.0,9/20/1988
75,61672.0,6/20/1986
76,61672.0,11/30/1988
77,82326.0,3/2/2000
78,73614.0,10/17/2000
79,61138.0,7/16/2012
80,28207.0,7/14/1998
81,39670.0,9/29/1997
82,11974.0,4/9/1986
83,11974.0,11/23/1988
84,74975.0,6/4/1998
85,74975.0,2/3/2000
86,82668.0,8/30/2013
87,12395.0,8/10/1998
88,56630.0,1/2/2012
89,92217.0,7/31/1995
90,90908.0,11/10/1986
91,91679.0,12/22/1994
92,90740.0,5/10/2005
93,91380.0,8/2/2005
94,89333.0,9/29/2010
95,89894.0,12/20/2005
96,89894.0,10/26/1995
97,92313.0,1/17/1989
98,92313.0,3/31/1988
99,85893.0,4/12/2000
100,91396.0,5/19/1989
101,91396.0,5/16/1995
102,91396.0,8/24/1994
103,91636.0,2/13/1996
104,85287.0,9/16/1997
105,10087.0,9/13/2000
106,10105.0,6/5/1987
107,10105.0,10/11/2007
108,10105.0,11/14/2013
109,10105.0,2/27/1991
110,10178.0,7/26/2001
111,10194.0,4/19/2000
112,10343.0,6/20/1996
113,10343.0,6/8/1988
114,10484.0,3/13/2001
115,10623.0,10/21/2009
116,10623.0,1/29/2007
117,10777.0,8/31/1998
118,10784.0,6/19/1987
119,10784.0,3/26/2004
120,10821.0,8/10/1998
121,11005.0,11/4/2016
122,11005.0,2/14/2002
123,11005.0,9/4/2012
124,11005.0,6/19/2007
125,11014.0,5/28/1986
126,11014.0,10/31/1995
127,11062.0,3/2/1989
128,11139.0,5/29/2003
129,11198.0,7/30/1999
130,11231.0,1/26/1989
131,11267.0,7/22/2003
132,11281.0,8/6/1992
133,11329.0,6/5/1989
134,11329.0,3/4/1988
135,11329.0,4/28/1986
136,11331.0,2/20/1990
137,11378.0,8/13/1985
138,11416.0,4/29/1999
139,11478.0,2/21/2013
140,11591.0,8/17/1998
141,11614.0,11/6/2001
142,11617.0,11/19/1997
143,11641.0,10/14/1991
144,11764.0,11/10/1998
145,11764.0,6/29/1987
146,11858.0,9/10/1993
147,10123.0,10/8/2001
148,12253.0,12/5/2005
149,75490.0,5/28/1999
150,75488.0,2/20/2002
151,76099.0,12/21/2011
152,76391.0,9/3/2012
153,76448.0,8/25/1989
154,76171.0,7/24/2006
155,76195.0,1/16/2013
156,76195.0,12/30/1986
157,76200.0,2/15/1999
158,76217.0,11/19/2014
159,76217.0,3/16/2015
160,76565.0,7/30/2013
161,76879.0,2/2/2015
162,76982.0,1/26/1996
163,76880.0,7/28/2006
164,76623.0,3/20/2006
165,76651.0,4/22/2009
166,76651.0,2/3/2000
167,76693.0,10/16/2006
168,76717.0,4/22/2003
169,76717.0,6/15/2011
170,76739.0,8/2/2007
171,76799.0,4/16/2002
172,76844.0,11/18/1998
173,76852.0,5/11/1994
174,77038.0,11/8/1999
175,77028.0,6/29/1998
176,77045.0,5/29/2013
177,77108.0,9/18/1998
178,77207.0,10/30/2007
179,77173.0,3/18/2015
180,77284.0,12/15/2004
181,77328.0,11/26/1996
182,77347.0,3/8/2010
183,77361.0,2/1/2002
184,77361.0,5/3/1999
185,77398.0,2/15/2000
186,77405.0,8/18/2006
187,77409.0,12/3/1998
188,77555.0,1/22/2006
189,77523.0,10/1/1999
190,77532.0,10/23/1995
191,77532.0,4/22/1992
192,77539.0,4/8/1997
193,77596.0,10/30/2000
194,77850.0,2/17/1999
195,77850.0,6/29/1990
196,77851.0,11/2/1989
197,77851.0,11/20/1998
198,77978.0,9/29/1997
199,77987.0,6/29/1998
200,78001.0,5/5/2009
201,78082.0,6/30/2014
202,78180.0,12/21/1999
203,78139.0,9/2/2014
204,78838.0,5/6/1997
205,78920.0,8/28/2000
206,78956.0,4/15/2005
207,79074.0,3/3/1997
208,79163.0,10/4/1999
209,79179.0,8/26/1996
210,79179.0,3/31/1995
211,79292.0,3/15/2000
212,79301.0,10/8/2010
213,79301.0,6/27/2006
214,79301.0,2/9/1999
215,79301.0,4/28/1989
216,79305.0,6/10/2003
217,79305.0,5/1/2000
218,79296.0,10/3/1996
219,79310.0,1/3/2002
220,79310.0,1/6/2000
221,79409.0,4/12/1999
222,79374.0,3/6/2000
223,79374.0,9/12/1988
224,79428.0,2/23/2001
225,79422.0,4/9/1997
226,79422.0,10/16/1987
227,79422.0,6/18/2008
228,79415.0,4/15/1996
229,79408.0,7/19/2006
230,79408.0,10/16/1997
231,79375.0,3/18/1988
232,79494.0,4/1/1999
233,79488.0,8/5/1996
234,79533.0,5/17/2002
235,79515.0,1/20/2001
236,79466.0,5/16/1996
237,79517.0,1/17/2008
238,79619.0,8/14/1996
239,79621.0,2/20/1998
240,79706.0,2/16/2000
241,79712.0,12/30/2012
242,79725.0,8/4/2006
243,79725.0,12/2/1991
244,79876.0,5/10/1996
245,79833.0,3/10/1997
246,79882.0,10/4/1999
247,79942.0,3/9/1999
248,80009.0,1/14/1997
249,80030.0,8/4/2003
250,79945.0,3/24/1999
251,79957.0,7/18/1995
252,79957.0,5/22/1991
253,80003.0,7/14/1998
254,79956.0,10/30/2007
255,80147.0,7/9/1999
256,80159.0,12/27/2013
257,80135.0,7/20/2011
258,80289.0,4/3/1995
259,80264.0,7/26/2000
260,80226.0,4/16/1999
261,80245.0,6/12/2009
262,80333.0,6/9/2000
263,80353.0,5/24/2011
264,80330.0,6/14/1995
265,80311.0,8/26/1996
266,80439.0,7/2/2012
267,80444.0,9/8/2006
268,80443.0,3/29/2004
269,80443.0,8/31/1994
270,80443.0,12/29/1989
271,80549.0,2/25/2004
272,80556.0,2/1/1999
273,80650.0,2/11/1998
274,80612.0,5/28/2002
275,80649.0,3/29/1996
276,80756.0,6/13/2011
277,80756.0,11/21/2003
278,80773.0,10/26/2001
279,80761.0,3/25/1999
280,80752.0,6/12/2002
281,80804.0,2/17/2014
282,80846.0,8/22/2002
283,80949.0,5/16/1996
284,80913.0,9/28/2009
285,81021.0,6/22/2007
286,81005.0,8/11/2000
287,80972.0,8/6/1998
288,81086.0,9/1/2004
289,81086.0,3/15/1999
290,81110.0,6/2/2014
291,81110.0,10/27/2005
292,81097.0,1/18/2007
293,81109.0,4/4/2012
294,81119.0,2/13/2009
295,81099.0,12/14/1998
296,81161.0,8/12/1997
297,81161.0,6/8/1994
298,81146.0,9/20/2001
299,81136.0,6/1/1999
300,81136.0,12/14/1994
301,81177.0,11/16/1998
302,81212.0,5/1/2012
303,81264.0,6/26/1997
304,81279.0,5/7/1998
305,81475.0,6/17/2004
306,81505.0,5/23/1997
307,81492.0,12/29/1997
308,81631.0,6/22/1998
309,81595.0,6/28/2007
310,81685.0,8/4/1997
311,81679.0,9/19/1997
312,81760.0,12/6/2001
313,81715.0,3/16/2000
314,81720.0,6/22/1998
315,82202.0,6/7/1988
316,82202.0,10/6/1997
317,82157.0,4/22/2004
318,82286.0,7/24/1998
319,82267.0,10/13/2000
320,82472.0,3/26/1997
321,82472.0,5/23/1994
322,82510.0,6/17/1998
323,82524.0,10/6/2004
324,82524.0,3/25/1999
325,82524.0,5/21/2007
326,82524.0,5/29/2014
327,82566.0,3/22/2000
328,82584.0,2/5/2007
329,82597.0,5/6/1998
330,82568.0,8/27/1999
331,82558.0,6/20/2006
332,82548.0,11/23/1998
333,82663.0,5/5/2003
334,82703.0,12/13/2006
335,82703.0,8/16/2001
336,82703.0,2/22/2000
337,82703.0,3/25/1997
338,82696.0,11/29/1996
339,82699.0,6/16/2016
340,82832.0,6/23/1999
341,82807.0,8/24/1999
342,83180.0,12/14/1998
343,83161.0,7/30/2007
344,83175.0,2/4/1998
345,83150.0,7/29/2002
346,83164.0,11/4/1999
347,83271.0,10/19/2000
348,83271.0,10/11/1995
349,83347.0,9/4/2013
350,83274.0,10/21/1999
351,83283.0,11/1/2012
352,83304.0,2/1/2006
353,83314.0,5/10/1999
354,83241.0,7/10/2000
355,83374.0,2/9/2016
356,83374.0,3/19/2012
357,83423.0,10/29/1998
358,83367.0,7/8/1997
359,83403.0,8/17/1999
