permno,Date_Announced
14286.0,2006-11-06
18455.0,2000-10-09
19589.0,2001-12-12
19589.0,1995-04-20
19589.0,2004-12-23
19992.0,2004-02-15
41444.0,2007-04-04
25348.0,2006-09-17
32599.0,1987-08-20
28178.0,1998-01-06
63554.0,2001-04-05
29744.0,2004-01-20
65226.0,2008-05-12
28522.0,1998-04-09
63597.0,1997-06-16
63597.0,2006-12-18
35781.0,2001-05-07
39328.0,2016-07-19
40097.0,2004-09-13
41420.0,1997-06-17
59301.0,1999-08-18
45103.0,1997-10-21
43327.0,1999-03-03
43407.0,1988-12-22
46739.0,1999-08-09
47969.0,2006-02-10
61137.0,1994-07-27
49729.0,1998-12-18
50287.0,1998-10-14
51693.0,2006-04-20
52581.0,1999-09-23
12058.0,1985-05-02
54827.0,2013-09-09
56363.0,2005-08-29
58077.0,1999-09-27
64531.0,1998-11-23
63749.0,1995-05-31
64291.0,1997-02-27
61620.0,1995-05-19
66799.0,2006-08-08
66967.0,2004-07-16
68401.0,2009-06-19
69682.0,2000-04-07
57963.0,1995-06-16
70790.0,2000-09-29
72486.0,2012-05-02
73083.0,1996-04-05
68938.0,1997-08-26
57067.0,2006-02-21
57067.0,2011-10-31
60003.0,1995-03-24
60003.0,1999-01-19
83417.0,1986-10-21
83433.0,2006-06-30
57648.0,1997-09-22
65509.0,2013-06-13
74895.0,2001-01-26
40361.0,1986-11-17
79119.0,1996-04-01
12424.0,1994-02-18
11983.0,2003-06-20
43167.0,2005-02-14
17671.0,2012-05-22
16193.0,2000-08-11
16193.0,2006-02-28
82502.0,1995-12-19
65306.0,1993-02-04
78992.0,2003-12-22
66413.0,2004-07-22
34818.0,2014-03-17
20571.0,2006-12-27
68006.0,1987-09-22
31318.0,2007-10-30
74070.0,2000-06-14
74070.0,1988-09-20
61672.0,1986-06-20
61672.0,1988-11-30
82326.0,2000-03-02
73614.0,2000-10-17
61138.0,2012-07-16
28207.0,1998-07-14
39670.0,1997-09-29
11974.0,1986-04-09
11974.0,1988-11-23
74975.0,1998-06-04
74975.0,2000-02-03
82668.0,2013-08-30
12395.0,1998-08-10
56630.0,2012-01-02
92217.0,1995-07-31
90908.0,1986-11-10
91679.0,1994-12-22
90740.0,2005-05-10
91380.0,2005-08-02
89333.0,2010-09-29
89894.0,2005-12-20
89894.0,1995-10-26
92313.0,1989-01-17
92313.0,1988-03-31
85893.0,2000-04-12
91396.0,1989-05-19
91396.0,1995-05-16
91396.0,1994-08-24
91636.0,1996-02-13
85287.0,1997-09-16
10087.0,2000-09-13
10105.0,1987-06-05
10105.0,2007-10-11
10105.0,2013-11-14
10105.0,1991-02-27
10178.0,2001-07-26
10194.0,2000-04-19
10343.0,1996-06-20
10343.0,1988-06-08
10484.0,2001-03-13
10623.0,2009-10-21
10623.0,2007-01-29
10777.0,1998-08-31
