PERMNO,date,COMNAM,PERMCO,RET
59555,20040130,HONDA MOTOR LTD,2172,-0.051556
59555,20040227,HONDA MOTOR LTD,2172,0.022024
59555,20040331,HONDA MOTOR LTD,2172,0.065841
59555,20040430,HONDA MOTOR LTD,2172,-0.129213
59555,20040528,HONDA MOTOR LTD,2172,0.071960
59555,20040630,HONDA MOTOR LTD,2172,0.125926
59555,20040730,HONDA MOTOR LTD,2172,-0.002056
59555,20040831,HONDA MOTOR LTD,2172,0.029254
59555,20040930,HONDA MOTOR LTD,2172,-0.019400
59555,20041029,HONDA MOTOR LTD,2172,-0.002874
59555,20041130,HONDA MOTOR LTD,2172,-0.013998
59555,20041231,HONDA MOTOR LTD,2172,0.088100
59555,20050131,HONDA MOTOR LTD,2172,0.007291
59555,20050228,HONDA MOTOR LTD,2172,0.022857
59555,20050331,HONDA MOTOR LTD,2172,-0.061111
59555,20050429,HONDA MOTOR LTD,2172,-0.037540
59555,20050531,HONDA MOTOR LTD,2172,0.025726
59555,20050630,HONDA MOTOR LTD,2172,-0.004450
59555,20050729,HONDA MOTOR LTD,2172,0.047135
59555,20050831,HONDA MOTOR LTD,2172,0.044626
59555,20050930,HONDA MOTOR LTD,2172,0.061174
59555,20051031,HONDA MOTOR LTD,2172,-0.020775
59555,20051130,HONDA MOTOR LTD,2172,0.005394
59555,20051230,HONDA MOTOR LTD,2172,0.036123
59555,20060131,HONDA MOTOR LTD,2172,-0.017950
59555,20060228,HONDA MOTOR LTD,2172,0.032689
59555,20060331,HONDA MOTOR LTD,2172,0.062543
59555,20060428,HONDA MOTOR LTD,2172,0.144380
59555,20060531,HONDA MOTOR LTD,2172,-0.067739
59555,20060630,HONDA MOTOR LTD,2172,-0.036633
59555,20060731,HONDA MOTOR LTD,2172,0.035512
59555,20060831,HONDA MOTOR LTD,2172,0.028225
59555,20060929,HONDA MOTOR LTD,2172,0.000231
59555,20061031,HONDA MOTOR LTD,2172,0.050550
59555,20061130,HONDA MOTOR LTD,2172,-0.001132
59555,20061229,HONDA MOTOR LTD,2172,0.124394
59555,20070131,HONDA MOTOR LTD,2172,-0.005311
59555,20070228,HONDA MOTOR LTD,2172,-0.055428
59555,20070330,HONDA MOTOR LTD,2172,-0.057029
59555,20070430,HONDA MOTOR LTD,2172,-0.012618
59555,20070531,HONDA MOTOR LTD,2172,0.026140
59555,20070629,HONDA MOTOR LTD,2172,0.032024
59555,20070731,HONDA MOTOR LTD,2172,-0.007440
59555,20070831,HONDA MOTOR LTD,2172,-0.086063
59555,20070928,HONDA MOTOR LTD,2172,0.019515
59555,20071031,HONDA MOTOR LTD,2172,0.122002
59555,20071130,HONDA MOTOR LTD,2172,-0.080684
59555,20071231,HONDA MOTOR LTD,2172,-0.030992
59555,20080131,HONDA MOTOR LTD,2172,-0.048280
59555,20080229,HONDA MOTOR LTD,2172,-0.029803
59555,20080331,HONDA MOTOR LTD,2172,-0.051858
59555,20080430,HONDA MOTOR LTD,2172,0.102048
59555,20080530,HONDA MOTOR LTD,2172,0.046614
59555,20080630,HONDA MOTOR LTD,2172,0.024075
59555,20080731,HONDA MOTOR LTD,2172,-0.059947
59555,20080829,HONDA MOTOR LTD,2172,0.017818
