PERMNO,date,COMNAM,RET
10087,3/3/1986,,
10087,6/3/1986,BEAUTICONTROL COSMETICS INC,C
10087,7/3/1986,BEAUTICONTROL COSMETICS INC,0
10087,10/3/1986,BEAUTICONTROL COSMETICS INC,0.033708
10087,11/3/1986,BEAUTICONTROL COSMETICS INC,-0.01087
10087,12/3/1986,BEAUTICONTROL COSMETICS INC,0.016484
10087,13-03-1986,BEAUTICONTROL COSMETICS INC,0
10087,14-03-1986,BEAUTICONTROL COSMETICS INC,0
10087,17-03-1986,BEAUTICONTROL COSMETICS INC,-0.005405
10087,18-03-1986,BEAUTICONTROL COSMETICS INC,0.054348
10087,19-03-1986,BEAUTICONTROL COSMETICS INC,0.030928
10087,20-03-1986,BEAUTICONTROL COSMETICS INC,0
10087,21-03-1986,BEAUTICONTROL COSMETICS INC,-0.015
10087,24-03-1986,BEAUTICONTROL COSMETICS INC,0
10087,25-03-1986,BEAUTICONTROL COSMETICS INC,-0.035533
10087,26-03-1986,BEAUTICONTROL COSMETICS INC,-0.015789
10087,27-03-1986,BEAUTICONTROL COSMETICS INC,0
10087,31-03-1986,BEAUTICONTROL COSMETICS INC,0
10087,1/4/1986,BEAUTICONTROL COSMETICS INC,0.016043
10087,2/4/1986,BEAUTICONTROL COSMETICS INC,0.005263
10087,3/4/1986,BEAUTICONTROL COSMETICS INC,0
10087,4/4/1986,BEAUTICONTROL COSMETICS INC,0
10087,7/4/1986,BEAUTICONTROL COSMETICS INC,-0.010471
10087,8/4/1986,BEAUTICONTROL COSMETICS INC,0
10087,9/4/1986,BEAUTICONTROL COSMETICS INC,-0.010582
10087,10/4/1986,BEAUTICONTROL COSMETICS INC,-0.005348
10087,11/4/1986,BEAUTICONTROL COSMETICS INC,0
10087,14-04-1986,BEAUTICONTROL COSMETICS INC,-0.021505
10087,15-04-1986,BEAUTICONTROL COSMETICS INC,-0.027473
10087,16-04-1986,BEAUTICONTROL COSMETICS INC,-0.033898
10087,17-04-1986,BEAUTICONTROL COSMETICS INC,0
10087,18-04-1986,BEAUTICONTROL COSMETICS INC,0
10087,21-04-1986,BEAUTICONTROL COSMETICS INC,0.005848
10087,22-04-1986,BEAUTICONTROL COSMETICS INC,0
10087,23-04-1986,BEAUTICONTROL COSMETICS INC,-0.005814
10087,24-04-1986,BEAUTICONTROL COSMETICS INC,-0.005848
10087,25-04-1986,BEAUTICONTROL COSMETICS INC,0.005882
10087,28-04-1986,BEAUTICONTROL COSMETICS INC,0
10087,29-04-1986,BEAUTICONTROL COSMETICS INC,0.005848
10087,30-04-1986,BEAUTICONTROL COSMETICS INC,-0.005814
10087,1/5/1986,BEAUTICONTROL COSMETICS INC,0
10087,2/5/1986,BEAUTICONTROL COSMETICS INC,0.005848
10087,5/5/1986,BEAUTICONTROL COSMETICS INC,0.023256
10087,6/5/1986,BEAUTICONTROL COSMETICS INC,0
10087,7/5/1986,BEAUTICONTROL COSMETICS INC,0
10087,8/5/1986,BEAUTICONTROL COSMETICS INC,0.034091
10087,9/5/1986,BEAUTICONTROL COSMETICS INC,0.043956
10087,12/5/1986,BEAUTICONTROL COSMETICS INC,0.073684
10087,13-05-1986,BEAUTICONTROL COSMETICS INC,0.019608
10087,14-05-1986,BEAUTICONTROL COSMETICS INC,0
10087,15-05-1986,BEAUTICONTROL COSMETICS INC,-0.009615
10087,16-05-1986,BEAUTICONTROL COSMETICS INC,-0.009709
10087,19-05-1986,BEAUTICONTROL COSMETICS INC,0.019608
10087,20-05-1986,BEAUTICONTROL COSMETICS INC,0
10087,21-05-1986,BEAUTICONTROL COSMETICS INC,-0.038462
10087,22-05-1986,BEAUTICONTROL COSMETICS INC,0.02
10087,23-05-1986,BEAUTICONTROL COSMETICS INC,0
10087,27-05-1986,BEAUTICONTROL COSMETICS INC,-0.009804
10087,28-05-1986,BEAUTICONTROL COSMETICS INC,-0.009901
10087,29-05-1986,BEAUTICONTROL COSMETICS INC,0
10087,30-05-1986,BEAUTICONTROL COSMETICS INC,0.1
10087,2/6/1986,BEAUTICONTROL COSMETICS INC,-0.027273
10087,3/6/1986,BEAUTICONTROL COSMETICS INC,0.028037
10087,4/6/1986,BEAUTICONTROL COSMETICS INC,-0.018182
10087,5/6/1986,BEAUTICONTROL COSMETICS INC,-0.018519
10087,6/6/1986,BEAUTICONTROL COSMETICS INC,0.009434
10087,9/6/1986,BEAUTICONTROL COSMETICS INC,-0.018692
10087,10/6/1986,BEAUTICONTROL COSMETICS INC,0.009524
10087,11/6/1986,BEAUTICONTROL COSMETICS INC,-0.009434
10087,12/6/1986,BEAUTICONTROL COSMETICS INC,0.009524
10087,13-06-1986,BEAUTICONTROL COSMETICS INC,-0.009434
10087,16-06-1986,BEAUTICONTROL COSMETICS INC,-0.019048
10087,17-06-1986,BEAUTICONTROL COSMETICS INC,-0.067961
10087,18-06-1986,BEAUTICONTROL COSMETICS INC,-0.020833
10087,19-06-1986,BEAUTICONTROL COSMETICS INC,-0.021277
10087,20-06-1986,BEAUTICONTROL COSMETICS INC,-0.021739
10087,23-06-1986,BEAUTICONTROL COSMETICS INC,-0.038889
10087,24-06-1986,BEAUTICONTROL COSMETICS INC,0.063584
10087,25-06-1986,BEAUTICONTROL COSMETICS INC,0.021739
10087,26-06-1986,BEAUTICONTROL COSMETICS INC,0.010638
10087,27-06-1986,BEAUTICONTROL COSMETICS INC,-0.031579
10087,30-06-1986,BEAUTICONTROL COSMETICS INC,-0.01087
10087,1/7/1986,BEAUTICONTROL COSMETICS INC,0
10087,2/7/1986,BEAUTICONTROL COSMETICS INC,0.021978
10087,3/7/1986,BEAUTICONTROL COSMETICS INC,-0.021505
10087,7/7/1986,BEAUTICONTROL COSMETICS INC,-0.010989
10087,8/7/1986,BEAUTICONTROL COSMETICS INC,0
10087,9/7/1986,BEAUTICONTROL COSMETICS INC,0.011111
10087,10/7/1986,BEAUTICONTROL COSMETICS INC,-0.005495
10087,11/7/1986,BEAUTICONTROL COSMETICS INC,0.005525
10087,14-07-1986,BEAUTICONTROL COSMETICS INC,-0.032967
10087,15-07-1986,BEAUTICONTROL COSMETICS INC,-0.022727
10087,16-07-1986,BEAUTICONTROL COSMETICS INC,0
10087,17-07-1986,BEAUTICONTROL COSMETICS INC,-0.023256
10087,18-07-1986,BEAUTICONTROL COSMETICS INC,0.011905
10087,21-07-1986,BEAUTICONTROL COSMETICS INC,-0.011765
10087,22-07-1986,BEAUTICONTROL COSMETICS INC,0.005952
10087,23-07-1986,BEAUTICONTROL COSMETICS INC,-0.005917
10087,24-07-1986,BEAUTICONTROL COSMETICS INC,0.011905
10087,25-07-1986,BEAUTICONTROL COSMETICS INC,0.011765
10087,28-07-1986,BEAUTICONTROL COSMETICS INC,-0.011628
10087,29-07-1986,BEAUTICONTROL COSMETICS INC,0
